Stephen Curry - 2016 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
vs Nuggets,5,5,28:35:00,22,3.6,7.4,24.7,0.4,3.2,2.4,0.4,4.4,0,1.4,4.4-6.6,0.667,3.6-9.8,0.367,2.4-3.0,0.8,0.621,30.8,5,10.4,31.4,6.2,3.4,0.6,4.2
vs Pacers,2,2,36:14:00,34,8.5,11,35.9,1,7.5,2,0,3,0,1,5.5-8.0,0.688,5.5-13.0,0.423,6.5-7.5,0.867,0.7,37.5,9.4,12.1,45.8,3.3,2.2,0,8.3
vs Pelicans,3,3,34:11:00,40,5,7,42.7,1.3,3.7,2.7,0,1.7,0.3,1.7,8.0-11.3,0.706,5.7-11.7,0.486,7.0-7.3,0.955,0.763,46.8,5.9,8.2,50.7,2,3.1,0,8.6
vs Pistons,2,2,36:53:00,30,6,5,24.4,1,5,2.5,0,3.5,1.5,1,5.0-11.0,0.455,5.0-11.0,0.455,5.0-6.0,0.833,0.609,32.5,6.5,5.4,29.3,3.8,2.7,0,6.5
vs Raptors,3,3,32:18:00,31.7,2.7,6,28,0.7,2,0.7,0,4.7,0.7,3.7,5.0-8.0,0.625,5.7-10.0,0.567,4.7-6.0,0.778,0.767,39.2,3.3,7.4,34.3,5.8,0.8,0,7.4
vs Rockets,5,5,24:02:00,21.8,4,5.6,31.8,0.4,3.6,1.4,0,2.2,0.2,1.4,3.8-5.6,0.679,3.6-8.0,0.45,3.4-3.6,0.944,0.718,36.3,6.7,9.3,40.3,3.7,2.3,0,6
vs Spurs,4,4,34:24:00,28.8,4.5,5.8,28.2,0.8,3.8,2.8,0,2.5,1.3,1.5,6.5-10.5,0.619,3.5-9.3,0.378,5.3-5.3,1,0.652,33.4,5.2,6.7,34.3,2.9,3.2,0,6.1
vs Suns,4,4,31:20:00,31.8,5,7.5,34.4,1.8,3.3,1,0.3,3,0.5,2.8,4.8-7.0,0.679,5.8-11.8,0.489,5.0-6.0,0.833,0.742,40.5,6.4,9.6,42.5,3.8,1.3,0.3,7.7
vs Thunder,10,10,36:57:00,29.8,5.7,6.1,24.5,0.6,5.1,2.1,0.1,3.5,1,1.5,4.7-9.8,0.48,5.0-11.6,0.431,5.4-6.2,0.871,0.618,32.3,6.2,6.6,30.1,3.8,2.3,0.1,6.7
vs Timberwolves,3,3,38:22:00,28.7,6,10,24.9,1.7,4.3,2.7,0.3,3.7,0.3,3.7,4.7-10.3,0.452,4.7-12.0,0.389,5.3-5.7,0.941,0.577,29.9,6.3,10.4,32,3.8,2.8,0.3,5.9
